Date,Open,High,Low,Close,Volume,Change
2024-01-04,118898,126158,118898,124393,1793660,0.022581918024431546
2024-01-05,124393,130475,121646,128710,2905704,0.03470452517424616
2024-01-08,128905,129101,124981,125374,1179785,-0.02591873203325301
2024-01-09,125962,128709,124393,124393,1076469,-0.00782458883021997
2024-01-10,124196,125373,121646,121646,1045654,-0.022083236194962774
2024-01-11,122627,128317,122627,127336,1932433,0.0467750686417967
2024-01-12,125570,125962,123411,124001,922752,-0.026190550983225536
2024-01-15,122038,125178,121057,122235,1029992,-0.014241820630478741
2024-01-16,121253,122823,119879,120861,1019391,-0.011240643023683883
2024-01-17,119684,120272,116740,116741,1603506,-0.034088746576645845
2024-01-18,115367,119879,114778,114779,1563053,-0.016806434757283162
2024-01-19,115956,116937,107911,109089,2765330,-0.049573528258653576
2024-01-22,107912,109089,100260,101045,2859798,-0.07373795708091557
2024-01-23,98885,103006,98101,99671,2265683,-0.01359790192488497
2024-01-24,99671,100652,96434,99279,1929345,-0.003932939370529076
2024-01-25,98298,98298,94570,96238,1854489,-0.030630848417087186
2024-01-26,94766,105949,94177,105165,2983134,0.09275961678339129
2024-01-29,106930,107127,101633,102222,2280616,-0.027984595635429987
2024-01-30,103987,107519,100063,100456,1901328,-0.017276124513314173
2024-01-31,99278,102025,98101,98494,1039864,-0.019530938918531526
2024-02-01,98298,105754,97513,104773,1900156,0.06375007614677042
2024-02-02,105950,108893,102222,107716,1898087,0.028089297815276915
2024-02-05,106146,109285,104772,105950,1223458,-0.016394964536373458
2024-02-06,103988,104380,99083,99868,2145507,-0.05740443605474277
2024-02-07,103007,122627,103007,113602,7687845,0.13752152841751109
2024-02-08,117133,128709,114779,127140,6445941,0.11917043714019115
2024-02-13,127138,135576,122430,124589,5349615,-0.020064495831367046
2024-02-14,121646,124197,116740,122039,3533555,-0.020467296470795926
2024-02-15,124588,127532,121841,124589,2009175,0.020894959807930213
2024-02-16,129494,130082,124000,125570,2128204,0.007873889348176899
2024-02-19,121841,123410,118506,118703,2445179,-0.05468662897188814
2024-02-20,116347,119095,112620,117722,2909455,-0.008264323563852649
2024-02-21,115563,121646,113994,117722,1904972,0.0
2024-02-22,117721,118702,115955,116937,1069486,-0.006668252323270063
2024-02-23,116937,119095,114975,116349,1216129,-0.005028348597962973
2024-02-26,114778,118505,114581,115760,1037938,-0.005062355499402704
2024-02-27,117329,119488,113602,113602,1597089,-0.01864201796821008
2024-02-28,117526,121450,114779,115368,3648226,0.015545500959490255
2024-02-29,116545,121253,114975,121254,2266605,0.051019346785937225
2024-03-04,122430,124981,120076,124197,2160838,0.024271364243653837
2024-03-05,121448,123215,118703,118703,1780923,-0.04423617317648576
2024-03-06,116937,120273,116152,117330,1126427,-0.011566683234627617
2024-03-07,117525,119684,115759,117722,1016700,0.0033410040057955115
2024-03-08,117918,119095,114974,115956,1289660,-0.01500144408012094
2024-03-11,115956,117133,114778,114779,815618,-0.0101504018765739
2024-03-12,115563,121646,115367,120665,1848088,0.05128115770306407
2024-03-13,121254,121449,119292,120077,968806,-0.004872995483363063
2024-03-14,119095,119488,117133,119488,874185,-0.004905185839086612
